startTime,spawnFillMin,spawnFillMax,stepInterval,spawnLevels
0,20,30,1.2,1x100
30,30,45,1.1,1x80;2x20
60,35,50,1.0,1x60;2x30;3x10
120,40,60,0.85,2x50;3x30;4x20
180,55,80,0.42,3x40;4x35;5x25
240,60,85,0.36,4x40;5x40;6x20
300,65,90,0.32,5x40;6x40;7x20
360,70,92,0.28,6x40;7x40;8x20
420,72,94,0.25,7x40;8x40;9x20
480,75,95,0.22,8x40;9x40;10x20
540,78,96,0.2,9x40;10x40;11x20
600,80,97,0.18,10x40;11x40;12x20
660,82,98,0.16,11x40;12x40;13x20
720,84,98,0.145,12x40;13x40;14x20
780,85,99,0.13,13x40;14x40;15x20
840,86,99,0.115,14x40;15x40;16x20
900,88,100,0.1,15x40;16x40;17x20
960,90,100,0.09,16x40;17x40;18x20
1020,90,100,0.08,17x40;18x40;19x20
1080,92,100,0.07,18x40;19x40;20x20
1140,94,100,0.06,19x40;20x40;21x20
1200,95,100,0.05,20x40;21x40;22x20
