id,level,hp,attack,experience,gold
unit_damage,1,4,1,1,0
unit_damage,2,4,1,1,0
unit_damage,3,8,1,2,0
unit_damage,4,13,1,2,0
unit_damage,5,34,1,4,0
unit_damage,6,46,1,5,0
unit_damage,7,63,1,6,0
unit_damage,8,84,1,8,0
unit_damage,9,109,1,10,0
unit_damage,10,139,1,12,0
unit_damage,11,172,1,14,0
unit_damage,12,210,1,16,0
unit_damage,13,252,1,18,0
unit_damage,14,302,1,20,0
unit_damage,15,357,1,23,0
unit_damage,16,420,1,26,0
unit_damage,17,487,1,30,0
unit_damage,18,563,1,34,0
unit_damage,19,647,1,38,0
unit_damage,20,739,1,42,0
unit_damage,21,840,1,46,0
unit_damage,22,945,1,50,0
unit_gold,1,1,1,1,10
unit_gold,2,1,1,1,12
unit_gold,3,2,1,1,15
unit_gold,4,2,1,2,18
unit_gold,5,3,1,2,22
unit_gold,6,3,1,2,26
unit_gold,7,4,1,3,30
unit_gold,8,4,1,3,35
unit_gold,9,5,1,4,40
unit_gold,10,5,1,4,46
unit_gold,11,6,1,5,52
unit_gold,12,6,1,5,60
unit_gold,13,7,1,6,68
unit_gold,14,7,1,6,78
unit_gold,15,8,1,7,90
unit_gold,16,8,1,8,105
unit_gold,17,9,1,8,120
unit_gold,18,9,1,9,140
unit_gold,19,10,1,10,160
unit_gold,20,10,1,11,185
unit_gold,21,11,1,12,210
unit_gold,22,12,1,13,240
unit_chest,1,1,1,0,0
